country,cases,deaths,cases/million,deaths/million,leader_name,designation,sex
United States,612380,25949,1428,51,,,Men
Spain,174060,18255,3334,339,,,Men
Italy,162488,21067,2384,303,,,Men
Germany,132210,3495,1432,31,Angela Merkel,Head of government,Women
France,103573,15729,1287,182,,,Men
United Kingdom,93873,12107,980,120,,,Men
China,82295,3342,58,2,,,Men
Iran,74877,4683,818,51,,,Men
Turkey,65111,1403,508,11,,,Men
Belgium,31119,4157,2314,262,Sophie Wilmès,Head of government,Women
Netherlands,27419,2945,1323,144,,,Men
Canada,27063,903,546,13,,,Men
Switzerland,25936,1174,2811,111,,,Men
Brazil,25262,1532,86,5,,,Men
Russia,21102,170,81,1,,,Men
Portugal,17448,567,1506,42,,,Men
Austria,14234,384,1511,36,,,Men
Israel,12046,123,1099,10,,,Men
Ireland,11479,406,1336,53,,,Men
Sweden,11445,1033,937,84,,,Men
India,10815,353,5,0,,,Men
South Korea,10591,225,202,4,,,Men
Peru,10303,230,164,4,,,Men
Chile,7917,92,313,3,,,Men
Japan,7645,109,42,1,,,Men
Ecuador,7603,355,284,16,,,Men
Poland,7202,263,150,5,,,Men
Romania,6879,346,282,13,,,Men
Norway,6686,139,1165,21,Erna Solberg,Head of government,Women
Denmark,6511,299,999,42,Mette Frederiksen,Head of government,Women
Australia,6400,61,242,2,,,Men
Czech Republic,6111,161,523,11,,,Men
Pakistan,5837,96,21,0,,,Men
Saudi Arabia,5369,73,107,1,,,Men
Philippines,5223,335,39,2,,,Men
Mexico,5014,332,27,2,,,Men
Malaysia,4987,82,133,2,,,Men
United Arab Emirates,4933,28,302,1,,,Men
Indonesia,4839,459,13,1,,,Men
Serbia,4465,94,446,10,Ana Brnabi?,Head of government,Women
Panama,3574,95,652,16,,,Men
Qatar,3428,7,914,2,,,Men
Ukraine,3372,98,53,2,,,Men
Luxembourg,3307,69,4975,83,,,Men
Dominican Republic,3286,183,227,11,,,Men
Belarus,3281,33,211,2,,,Men
Singapore,3252,10,370,1,Halimah Yacob,Head of state,Women
Finland,3161,59,501,9,Sanna Marin,Head of government,Women
Colombia,2979,127,45,1,,,Men
Thailand,2613,41,37,0,,,Men
South Africa,2415,27,34,0,,,Men
Egypt,2350,178,17,1,,,Men
Argentina,2277,101,42,2,,,Men
Greece,2170,101,188,8,Katerina Sakellaropoulou,Head of state,Women
Algeria,2070,326,39,5,,,Men
Moldova,1934,38,536,11,,,Men
Morocco,1888,126,40,3,,,Men
Iceland,1720,8,4598,16,Katrín Jakobsdóttir,Head of government,Women
Croatia,1704,31,367,5,,,Men
Bahrain,1528,7,592,3,,,Men
Hungary,1512,122,122,8,,,Men
Iraq,1400,78,31,2,,,Men
Estonia,1373,31,947,18,Kersti Kaljulaid,Head of state,Women
Kuwait,1355,2,225,0,,,Men
Kazakhstan,1232,14,43,0,,,Men
Slovenia,1220,56,554,21,,,Men
Azerbaijan,1197,13,92,1,,,Men
Uzbekistan,1165,4,18,0,,,Men
New Zealand,1078,9,204,0,Jacinda Ardern,Head of government,Women
Bosnia and Herzegovina,1077,41,268,11,,,Men
Lithuania,1070,24,358,6,,,Men
Armenia,1067,16,317,4,,,Men
Hong Kong,1013,4,132,1,,,Men
Bangladesh,1012,46,3,0,Sheikh Hasina,Head of government,Women
Puerto Rico,923,45,227,12,,,Men
North Macedonia,908,44,342,15,,,Men
Cameroon,848,14,30,0,,,Men
Slovakia,835,2,128,0,Zuzana ?aputová,Head of state,Women
Oman,813,4,104,1,,,Men
Cuba,766,21,46,1,,,Men
Tunisia,747,34,55,2,,,Men
Afghanistan,714,23,16,0,,,Men
Bulgaria,713,35,89,3,,,Men
Cyprus,685,12,632,11,,,Men
Andorra,659,31,7518,322,,,Men
Latvia,657,5,321,1,,,Men
Lebanon,641,21,89,3,,,Men
Ivory Coast,638,6,17,0,,,Men
Ghana,636,8,12,0,,,Men
Costa Rica,618,3,107,1,,,Men
Niger,570,14,18,0,,,Men
Burkina Faso,528,30,21,1,,,Men
Uruguay,492,8,130,2,,,Men
Albania,475,24,146,8,,,Men
Kyrgyzstan,430,5,46,1,,,Men
Honduras,407,26,42,3,,,Men
Jordan,397,7,35,1,,,Men
Malta,393,3,709,4,,,Men
Taiwan,393,6,16,0,Tsai Ing-wen,Head of state and government,Women
Kosovo,387,8,126,4,,,Men
